Category,Sub_C1,Sub_C2,Sub_C3,Sub_C4,Url
Baby Care,Baby Care,Baby Care Others  ,Baby Bedding   ,Baby Bedding Set ,"https://www.flipkart.com/baby-care/baby-bedding/baby-bedding-sets/pr?sid=kyh,7j3,yr4&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Bedding   ,Baby Bedsheet  ,"https://www.flipkart.com/baby-care/baby-bedding/baby-bedsheets/pr?sid=kyh,7j3,50d&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Bedding   ,Baby Blanket  ,"https://www.flipkart.com/baby-care/baby-bedding/baby-blankets/pr?sid=kyh,7j3,w47&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Bedding   ,Baby Pillow  ,"https://www.flipkart.com/baby-care/baby-bedding/baby-pillows/pr?sid=kyh,7j3,5j4&q=baby+pillow+for+kids&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Bedding   ,Baby Sleeping Bag ,"https://www.flipkart.com/baby-care/baby-bedding/baby-sleeping-bags/pr?sid=kyh,7j3,rmc&q=Baby+Sleeping+Bag&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Bedding   ,Mattress   ,"https://www.flipkart.com/baby-care/baby-bedding/baby-mattresses/pr?sid=kyh,7j3,kwa&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Bedding   ,Mosquito Net  ,"https://www.flipkart.com/baby-care/baby-bedding/baby-mosquito-nets/pr?sid=kyh,7j3,vyj&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Gear   ,Bouncer   ,"https://www.flipkart.com/baby-care/baby-gear/bouncers/pr?sid=kyh,5mt,jv5&q=bouncer+rocker&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Gear   ,Carrier Cuddler  ,"https://www.flipkart.com/baby-care/baby-gear/carriers-cuddlers/pr?sid=kyh,5mt,x7b&q=carrier+bag+for+baby+cuddler&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Grooming   ,Baby Hair Comb ,"https://www.flipkart.com/baby-care/baby-grooming/baby-hair-brush-comb/pr?sid=kyh,tyn,net&q=baby+hair+comb&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Grooming   ,Cotton Bud  ,"https://www.flipkart.com/baby-care/baby-medical-health-care/cotton-buds/pr?sid=kyh,g83,o8i&q=baby+cotton+buds&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Grooming   ,Nail Cutter  ,"https://www.flipkart.com/baby-care/baby-grooming/baby-nail-clippers/pr?sid=kyh,tyn,i07&q=Baby+Nail+Cutter&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Baby Grooming   ,Powder Puff  ,"https://www.flipkart.com/baby-care/baby-bath-hair-skin-care/baby-powder-puffs/pr?sid=kyh,pl5,0a0&q=baby+powder+puff&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Bath Care   ,Baby Bath Robe ,"https://www.flipkart.com/baby-care/baby-bath-robes/pr?sid=kyh,rdc,coq&q=Baby+Bath+Robe&otracker=categorytree"
Baby Care,Baby Care,Baby Care Others  ,Bath Care   ,Baby Bath Seat ,"https://www.flipkart.com/baby-care/baby-bathing-accessories/baby-bath-seats/pr?sid=kyh,rdc,djl&q=baby+bath+seat&otracker=categorytree"
